,ID,Code,Description,Extended Description,Percentage on Item ID
275,107a,DirectFreeKick_MEAN,Set Pieces: Direct Free Kick average per game,,
276,108,Corner,Set Pieces: Corner,,
277,108a,Corner_MEAN,Set Pieces: Corner average per game,,
278,109,Penalty,Set Pieces: Penalty,,
279,109a,Penalty_MEAN,Set Pieces: Penalty average per game,,
280,110,ThrowIn,Set Pieces: Throw-in,,
281,110a,ThrowIn_MEAN,Set Pieces: Throw-in average per game,,
282,111,OffensiveKickOff,Set Pieces: Offensive Kick Off,,
283,111a,OffensiveKickOff_MEAN,Set Pieces: Offensive Kick Off average per game,,
284,112,CentralFreeKickConceded,Set Pieces Conceded: Central Free Kick,,
285,112a,CentralFreeKickConceded_MEAN,Set Pieces Conceded: Central Free Kick average per game,,
286,113,LateralFreeKickConceded,Set Pieces Conceded: Lateral Free Kick,,
287,113a,LateralFreeKickConceded_MEAN,Set Pieces Conceded: Lateral Free Kick average per game,,
288,114,DirectFreeKickConceded,Set Pieces Conceded: Direct Free Kick,,
289,114a,DirectFreeKickConceded_MEAN,Set Pieces Conceded: Direct Free Kick average per game,,
290,115,CornerConceded,Set Pieces Conceded: Corner,,
291,115a,CornerConceded_MEAN,Set Pieces Conceded: Corner average per game,,
292,116,PenaltyConceded,Set Pieces Conceded: Penalty conceded,,
293,116a,PenaltyConceded_MEAN,Set Pieces Conceded: Penalty conceded average per game,,
294,117,ThrowInConceded,Set Pieces Conceded: Throw-in,,
295,117a,ThrowInConceded_MEAN,Set Pieces Conceded: Throw-in average per game,,
296,118,DefensiveKickOff,Set Pieces Conceded: Defensive Kick Off,,
297,118a,DefensiveKickOff_MEAN,Set Pieces Conceded: Defensive Kick Off average per game,,
298,119,tiriBloccati,Shots blocked,"A Shot Blocked is defined as an attempt to score including:
•        An attempt on target Blocked by an outfield player, where other defenders or a Goalkeeper are behind the Blocker.
•        Shots Blocked unintentionally by the shooter’s own teammate.
•        Clearances off the line by an opposition player (last line Blocks) 
A Shot Blocked is not classified as a Shot On Target or a Shot Off Target, just like a Shot Blocked.",2
299,119a,tiriBloccati_MEAN,Shots blocked average per game,"A Shot Blocked is defined as an attempt to score including:
•        An attempt on target Blocked by an outfield player, where other defenders or a Goalkeeper are behind the Blocker.
•        Shots Blocked unintentionally by the shooter’s own teammate.
•        Clearances off the line by an opposition player (last line Blocks) 
A Shot Blocked is not classified as a Shot On Target or a Shot Off Target, just like a Shot Blocked.",2
300,119p,tiriBloccati_PERC,Shots blocked percentage on total Shots,"A Shot Blocked is defined as an attempt to score including:
•        An attempt on target Blocked by an outfield player, where other defenders or a Goalkeeper are behind the Blocker.
•        Shots Blocked unintentionally by the shooter’s own teammate.
•        Clearances off the line by an opposition player (last line Blocks) 
A Shot Blocked is not classified as a Shot On Target or a Shot Off Target, just like a Shot Blocked.",2
301,1000,oi,Offensive Index,,
302,1000a,oi_MEAN,Offensive Index average per game,,
303,1001,di,Defensive Index,,
304,1001a,di_MEAN,Defensive Index average per game,,
305,1002,ballPoss,Ball possession,,
306,1002a,ballPoss_MEAN,Ball possession average per game,,
307,1003,xG,xG,"Expected Goals (xG) represent a statistical metric in football that measures the probability of a shot turning into a goal. This value, expressed in numbers between 0 and 1, is calculated based on many factors related to the shot and the type of action development. A high xG indicates a greater probability of scoring, reflecting the quality of the goal-scoring opportunity.",
308,1003a,xG_MEAN,xG average per game,"Expected Goals (xG) represent a statistical metric in football that measures the probability of a shot turning into a goal. This value, expressed in numbers between 0 and 1, is calculated based on many factors related to the shot and the type of action development. A high xG indicates a greater probability of scoring, reflecting the quality of the goal-scoring opportunity.",
309,1004,xGoT,xGOT,"The Expected Goal on Target (xGoT) is an advanced metric that defines the probability that a shot on goal will result in a goal. This value, expressed in numbers between 0 and 1, is calculated based on the position of the ball within the goal frame and the developments of the action. The xGoT provides a precise indication of the goal probability when a shot manages to threaten the opponent's goal frame.",
310,1004a,xGoT_MEAN,xGOT average per game,"The Expected Goal on Target (xGoT) is an advanced metric that defines the probability that a shot on goal will result in a goal. This value, expressed in numbers between 0 and 1, is calculated based on the position of the ball within the goal frame and the developments of the action. The xGoT provides a precise indication of the goal probability when a shot manages to threaten the opponent's goal frame.",
311,1005,xA,xA,"The Expected Assist (xA) is a football metric that measures the likelihood that a pass will become an assist, regardless of whether a shot actually follows the pass or not. This value is calculated by considering various factors, such as the position of the player making the pass, the type of pass, the position of the recipient, and other game contexts. The xA provides an assessment of the quality of passes that could lead to a goal, thus offering a more precise idea of a player's creative contribution, beyond the simple assists actually recorded.",
312,1005a,xA_MEAN,xA average per game,"The Expected Assist (xA) is a football metric that measures the likelihood that a pass will become an assist, regardless of whether a shot actually follows the pass or not. This value is calculated by considering various factors, such as the position of the player making the pass, the type of pass, the position of the recipient, and other game contexts. The xA provides an assessment of the quality of passes that could lead to a goal, thus offering a more precise idea of a player's creative contribution, beyond the simple assists actually recorded.",
313,1006,xAe,xA Exploited,"The Expected Assist Exploited (xAE) measures the probability that an assist is exploited and becomes a winning assist. This value is calculated by considering various factors, such as the position of the player making the pass, the type of pass, the position of the recipient, and other game contexts. The xAE provides an evaluation of the recipient's quality to exploit or not an assist that could lead to a score, thus offering a more precise idea of a footballer's ability to advantageously exploit an assist.",
314,1006a,xAe_MEAN,xA Exploited average per game,"The Expected Assist Exploited (xAE) measures the probability that an assist is exploited and becomes a winning assist. This value is calculated by considering various factors, such as the position of the player making the pass, the type of pass, the position of the recipient, and other game contexts. The xAE provides an evaluation of the recipient's quality to exploit or not an assist that could lead to a score, thus offering a more precise idea of a footballer's ability to advantageously exploit an assist.",
315,1007,xOvA,Expected Offensive Value Added,"The Expected Offensive Value Added (xOvA) is a metric that evaluates a player's offensive contribution on an individual basis. It is calculated by adding the Expected Goals (xG) and Expected Assists (xA) generated during regular play actions, and then subtracting the received Expected Assists (xA). This value provides a clear measure of the offensive value added by the player, avoiding the positional advantage of offensive roles.",
316,1007a,xOvA_MEAN,Expected Offensive Value Added average per game,"The Expected Offensive Value Added (xOvA) is a metric that evaluates a player's offensive contribution on an individual basis. It is calculated by adding the Expected Goals (xG) and Expected Assists (xA) generated during regular play actions, and then subtracting the received Expected Assists (xA). This value provides a clear measure of the offensive value added by the player, avoiding the positional advantage of offensive roles.",
317,1008,CxG,Conceded xG,Expected Goals (xG) conceded by the defending team.,
318,1008a,CxG_MEAN,Conceded xG average per game,Expected Goals (xG) conceded by the defending team.,
319,1009,shotQuality,Shot Quality,"The difference between Expected Goal on Target (xGoT) and Expected Goal (xG) provides a measure of a footballer's ability to influence the quality of a shot, either improving or decreasing the chances of scoring a goal. A negative value indicates that the player has reduced the quality of the shot, thus lowering the chances of scoring. Conversely, a positive value suggests that the player has increased the shot's success probability. This metric effectively reflects a player's skill in optimizing a shooting opportunity.",
320,1009a,shotQuality_MEAN,Shot Quality average per game,"The difference between Expected Goal on Target (xGoT) and Expected Goal (xG) provides a measure of a footballer's ability to influence the quality of a shot, either improving or decreasing the chances of scoring a goal. A negative value indicates that the player has reduced the quality of the shot, thus lowering the chances of scoring. Conversely, a positive value suggests that the player has increased the shot's success probability. This metric effectively reflects a player's skill in optimizing a shooting opportunity.",
321,1010,fieldTilt,Field Tilt,"""Field Tilt"" is a soccer metric that measures a team's territorial dominance during a match. Expressed as a percentage, it represents the number of ""touches"" by the attacking team in the opponent's final third compared to the total touches in the opponent's final third by both teams. A high value indicates that a team is exerting constant pressure with the potential and likelihood of becoming dangerous, suggesting tactical and territorial superiority.",
322,1010a,fieldTilt_MEAN,Field Tilt average per game,"""Field Tilt"" is a soccer metric that measures a team's territorial dominance during a match. Expressed as a percentage, it represents the number of ""touches"" by the attacking team in the opponent's final third compared to the total touches in the opponent's final third by both teams. A high value indicates that a team is exerting constant pressure with the potential and likelihood of becoming dangerous, suggesting tactical and territorial superiority.",
323,1011,PPDA,PPDA,"The PPDA is an index measuring a team's pressing intensity, calculated as the ratio of opponent passes in one's own half to defensive actions in the opponent's half without possession. A low value indicates intense pressing, limiting opponent passes, while a high value suggests less aggressive pressing. However, there's no universal assessment of ""positive"" or ""negative"". Interpretation is descriptive: low PPDA implies intense pressure, high PPDA implies less aggressive pressure.",
324,1011a,PPDA_MEAN,PPDA average per game,"The PPDA is an index measuring a team's pressing intensity, calculated as the ratio of opponent passes in one's own half to defensive actions in the opponent's half without possession. A low value indicates intense pressing, limiting opponent passes, while a high value suggests less aggressive pressing. However, there's no universal assessment of ""positive"" or ""negative"". Interpretation is descriptive: low PPDA implies intense pressure, high PPDA implies less aggressive pressure.",
325,1012,AxGoT,Against xGoT,Expected Goals on Target (xGoT) conceded by the defending team.,
326,1012a,AxGoT_MEAN,Against xGoT average per game,Expected Goals on Target (xGoT) conceded by the defending team.,
327,1013,FxGoT,Faced Expected Goals on Target,Expected Goals on Target (xGoT) conceded by the defending goalkeeper.,
328,1013a,FxGoT_MEAN,Faced Expected Goals on Target average per game,Expected Goals on Target (xGoT) conceded by the defending goalkeeper.,
329,1014,gkGP,GK Goals Prevented,"Subtracting the Expected Goals on Target faced by the goalkeeper (xGoT) from the Goals conceded provides a value which, if positive, indicates a positive effectiveness in preventing goals resulting from shots on target by opponents. Conversely, if negative, it suggests a lesser effectiveness of the goalkeeper in effectively intervening to avoid opponent scoring goals.",
330,1014a,gkGP_MEAN,GK Goals Prevented average per game,"Subtracting the Expected Goals on Target faced by the goalkeeper (xGoT) from the Goals conceded provides a value which, if positive, indicates a positive effectiveness in preventing goals resulting from shots on target by opponents. Conversely, if negative, it suggests a lesser effectiveness of the goalkeeper in effectively intervening to avoid opponent scoring goals.",
331,1015,np_xG,no-penalty xG,Expected Goal without penalty kick,
332,1015a,np_xG_MEAN,no-penalty xG average per game,Expected Goal without penalty kick,
333,1016,op_xG,open-play xG,Open Play Expected Goal,
334,1016a,op_xG_MEAN,open-play xG average per game,Open Play Expected Goal,
335,1017,oi-di,Offensive Index - Defensive Index,,
336,1017a,oi-di_MEAN,Offensive Index - Defensive Index average per game,,
